Abbr,Term
A/A,Air to air TACAN function
A/C,Aircraft
A/D,Aerodrome
A/F,Autofeather
A/FD,Airport/Facility Directory
A/P,Autopilot
A/R,Altitude Rate
AAA,Airport Airspace Analysis
AAE,Above Aerodrome Elevation
AAF,Airway Facilities Service
AAF,Army Air Field
AAI,Arrival Aircraft Interval
AAI,Airports Authority of India
AAIB,Air Accidents Investigation Branch (UK)
AAIM,Aircraft Autonomous Integrity Monitoring
AAMS,Aircraft Arrival Management System
AARTS,Army Aviation Radar Training System
AAO,Assumed Adverse Obstacle
AAS,Airport Advisory Service
AB,Air Base
ABI,Advanced Boundary Information
AC,Air Conditioning
AC,Aircraft
ACAC,Arab Civil Aviation Conference
ACAM,Aircraft Continuing Airworthiness Monitoring
ACARS,Aircraft Communications Addressing and Reporting System
ACAS,Airborne Collision Avoidance System
ACC,Area Control Center
ACE,Airport airside Capacity Enhancement
ACI,Airports Council International
ACP,Accept
AD,Air Defence
ADAC,Abu Dhabi Airports
ADEP,Aerodrome of Departure
ADES,Aerodrome of Destination
ADF,Automatic Direction Finding
ADI,Automatic De-Ice and Inhibitor
ADIZ,Air Defense Identification Zone
ADL,Aeronautical Data Link
ADLY,Arrival Delay
ADP,Aerodrome dé Paris (Charles de Gaulle)
ADP,Automated Data Processing
ADS,Automated Distribution System
ADS,Automatic Dependent Surveillance
ADS-B,Automatic Dependent Surveillance-Broadcast
AENA,Aeropuertos Españoles y Navegación Aérea
AERA,Automated En-Route Air Traffic Control
AEW,Airborne Early Warning
AF,Air Field
AFCS,Automatic Flight Control System
AFIS,Aerodrome Flight Information Service
AFTN,Aeronautical Fixed Telecommunication Network
AFM,Aircraft Flight Manual
AGAS,Action Group for ATM Safety (EUROCONTROL)
AGL,Above Ground Level
ahdg,alter heading
AICS,Aircraft Inventory and Charter System
AID,Airport Information Desk
AIDS,Aircraft Integrated Data System
AIG,Airbus Industries Group
AILS,Automatic Instrument Landing System
AIM,Aeronautical Information Manual
AIP,Aeronautical Information Publication
AIPA,Aeronautical Information Production Application
AIRAC,Aeronautical Information Regulation And Control
AIRMET,Airmen's Meteorological Information
AIRNAV,Airports and Navigation Aids Database System
AIRNET,Airport Network Simulation Model
AIRPAC,Advisor for the Intelligent Resolution of Predicted Aircraft
ALO,Aviation Logistics Organization
ALP,Airport Layout Plan
ALPA,Airlines Pilots Association
ALS,Approach Lighting System
ALSF,Approach Lighting System With Sequenced Flashing Lights
ALSF1,ALS with Sequenced Flashers I
ALSF2,ALS with Sequenced Flashers II
ALSIP,Approach Lighting System Improvement Plan
ALTRV,Altitude Reservation
AMAN,Arrival Manager
AMASS,Airport Movement Area Safety System
AMCC,Air Route Traffic Control Center Maintenance Control Center
AMIC,Area Manager in Charge
AMIS,Aircraft Management Information System
AMOC,Alternative Methods of Compliance
AMOS,Automated Meteorological Observation Station
AMP,ARINC Message Processor (OR) Airport Master Plan
AMS,Acquisition Management System
AMT,Aviation Maintenance Technician
AMVER,Automated Mutual Assistance Vessel Rescue System
