Abbr,Term
1NF,First Normal Form
2.5D,Two-And-A-Half-Dimensional
286,Intel 80286 processor
2B1Q,2 Binary 1 Quaternary
2FA,Two-factor authentication
2GL,Second-Generation Programming Language
2KB,"2,000 Bytes"
2NF,Second Normal Form
386,Intel 80386 processor
3DCG,Three-Dimensional Computer Graphics
3DS,"Nintendo 3DS or 3 Dual Screen"
3GL,Third-Generation Programming Language
3GPP,3rd Generation Partnership Project
3LS,3rd Level Support
3NF,Third Normal Form
3PV,Peak Player Production Values
486,Intel 80486 processor
4B5BLF,4 Byte 5 Byte Local Fiber
4G,Fourth Generation
4GL,Fourth-generation Programming Language
4NF,Fourth Normal Form
5GL,Fifth-Generation Programming Language
5NL,Fifth Normal Form
6NF,Sixth Normal Form
802.11,Wireless LAN
8B10BLF,8 Byte 10 Byte Local Fiber
A11Y,Accessibility
AAA,"Authentication,Authorization,Accounting"
AABB,Axis Aligned Bounding Box
AAC,Advanced Audio Coding
AAI,Applied Artificial Intelligence
AAM,Automatic Acoustic Management
AAS,as a service
AAS,Auto Area Segmentation
ABC,Atanasoff-Berry Computer
ABIOS,Advanced BIOS
ABP,AdBlock Plus
AC,Alternating Current
ACCT,Account
ACE,Access Control Entry
ACID,"Atomicity, Consistency, Isolation, Durability"
Ack,Acknowledgement
ACL,Access Control list
ACL,Access Control List
ACPI,Advanced Configuration and Power Interface
ACR,Absolute Cell Reference
ADatP,Automated Data Processing
ADC,Analog-to-Digital Converter
ADF,Automatic Document Feeder
ADSL,Asymmetric Digital Subscriber Line
AFP,Apple Filing Protocol
AGP,Accelerated Graphics Port
AIFF,Audio Interchange File Format
ALU,Arithmetic Logic Unit
ANSI,American National Standards Institute
API,Application Programming Interface
APU,Accelerated Processing Unit
ARP,Address Resolution Protocol
ASCII,American Standard Code for Information Interchange
ASP,Application Service Provider
ATM,Asynchronous Transfer Mode
ATX,Advanced Technology eXtended (a form factor for motherboards and power supplies)
AVR,Audio/Video Receiver
AWS,Amazon Web Services
Bash,Bourne-Again Shell
BASIC,Beginner's All-purpose Symbolic Instruction Code
BCC,Blind Carbon Copy
BGP,Border Gateway Protocol
BIOS,Basic Input/Output System
BLE,Bluetooth Low Energy
BLOB,Binary Large OBject
BMP,Bitmap
BSOD,Blue Screen of Death
BTX,Balanced Technology eXtended (a form factor for personal computer motherboards)
BYOA,Bring Your Own Apps
BYOC,Bring Your Own Cloud
BYOE,Bring Your Own Encryption
BYOI,Bring Your Own Identity
BYON,Bring Your Own Network
CAD,Computer-Aided Design
CAN,Campus Area Network
CD,Compact Disc
CGDC,Computer Game Developers Conference (became GDC in 1998)
CGF,Computer-Generated Forces (Simulation)
CGM,Computer Graphics Metafile
CHI,Computer-Human Interaction
CLI,Command Line Interface/Interpreter
CLOB,Character Large OBject
CLOS,Common Lisp Object System
CMIS,Content Management Interoperability Services
CMOS,Complementary Metal–Oxide–Semiconductor
CMS,Cisco Meeting Server
CNO,Computer Network Operations
Codec,"Coder-Decoder / Compressor-Decompressor / Compression-Decompression algorithm"
COLA,"comp.os.linux.announce"
CORBA,Common Object Request Broker Architecture
CPU,Central Processing Unit
CSS,Cascading Style Sheets
CSV,Comma Separated Values (file format)
CVS,Concurrent Versions System
DAB,Digital Audio Broadcasting
DB,Database
DBCS,Double Byte Character Set
DCCP,Datagram Congestion Control Protocol
DCIM,Digital Camera Images
DCOP,Desktop Communication Protocol
DDA,"Digital Differential Analyzer (graphics algorithm), or Digital Differential Analyzer"
DDD,"Data Display Debugger or Digital Digital Digital (CD mastering)"
DDL,"Digital Data Link or Data Definition Language"
DDoS,Distributed Denial of Service
DECT,Digital European Cordless Telephone
DIF,Data Interchange Format
