Abbr,Term
ATL,Hartsfield-Jackson Atlanta International Airport (USA)
CAN,Guangzhou Baiyun International Airport (China)
CTU,Chengdu Shuangliu International Airport (China)
DCA,Ronald Reagan Washington National Airport 
DFW,Dallas/Fort Worth International Airport (USA)
EWR,Newark Liberty International Airport
GXH,Gannan Xiahe Airport
GXY,Greeley-Weld County Airport
GYY,Gary/Chicago International Airport 
ILY,Islay Airport (Scotland)
ORD,"O'Hare International Airport in Chicago,Illinois"
OXF,London Oxford Airport
OXR,Oxnard Airport
PNS,"Pensacola,Florida"
SAD,Safford Regional Airport 
XFN,Xiangyang Liuji Airport
XFW,Hamburg Finkenwerder Airport
XGG,Gorom Gorom Airport
XGN,Xangongo Airport
XGR,Kangiqsualujjuag (Georges River) Airport
XKA,Kantchari Airport
XKH,Xieng Khouang Airport
XKS,Kasabonika Airport
XKY,Kaya Airport
XNA,Northwest Arkansas Regional Airport
XNN,Xining Caojiabao Airport
XQP,Quepos La Managua Airport
XQU,Qualicum Beach Airport
XYA,Yandina Airport
XZA,Zabré Airport
YEM,Manitowaning/Manitoulin East Municipal Airport 
