ABBR,TERM
UGL,Union Glacier Blue-Ice Runway,
SXW,Sauren,
NDV,USN Heliport,
EAP,EuroAirport Basel-Mulhouse-Freiburg Airport,
NET,New Bight,
MSK,Mastic Point,
LYG,Lianyungang Airport,
YIG,Big Bay Marina,
ACI,Alderney Airport,
ANT,St Anton,
APW,Faleolo Airport,
LYI,Linyi Airport,
LHB,Lost Harbor Sea Port,
MZS,Mostyn,
MDE,Jose Maria Cordova International Airport,
MDH,Southern Illinois,
YFL,Fort Reliance,
YEP,Estevan Point,
JTN,Antônio Ribeiro Nogueira Jr. State Airport,
YGA,Gagnon,
MDK,Mbandaka,
LMV,Madivaru Airport,
LZC,Lazaro Cardenas Airport,
AQP,Rodriguez Ballon International Airport,
NKI,Naukiti,
YSV,Saglek,
AST,Astoria,
TYC,Taiyuan Yaocheng Airport,
YTI,Triple Island,
LZH,Liuzhou Airport,
MEC,Manta Airport,
DZH,Dazhou Jinya Airport,
EES,Berenice International Airport,
YHA,Port Hope Simpson,
KFZ,Kukës International Airport,
JTA,Pedro Teixeira Castelo Airport,
KJB,Uyyalawada Narasimha Reddy Airport,
YPF,Esquimalt,
EHU,Ezhou Huahu Airport,
FZL,Fuzuli International Airport,
KXB,Sangia Nibandera Airport,
GDR,Angra dos Reis Airport,
HLJ,Beidahuang General Airport,
HZU,Chengdu Huaizhou Airport,
NGR,Ningerum,
MXQ,Lorenzo Airport,
AFK,Ampara Kondavattavan Tank Airport,
JHF,São Paulo Catarina Executive Airport,
AGK,Kagua,
BLL,Billund Airport,
CBA,Corner Bay,
JSB,Walfrido Salmito de Almeida Airport,
ATH,Eleftherios Venizelos International Airport,
TXC,Balbasovo Air Base,
YLE,Wha Ti,
UHS,Aleksandrovsk-Sakhalinskiy Airport,
MEH,Mehamn Airport,
ZMF,Beverello Harbor,
MEI,Key Field,
MEL,Tullamarine Airport,
MEM,Memphis International Airport,
MEN,Brenoux,
MHB,Mechanics Bay,
MBS,MBS International Airport,
MBW,Moorabbin,
MBY,Moberly,
AVP,Wilkes-Barre/Scranton International Airport,
DIA,Doha International Airport,
GNJ,Ganja International Airport,
YGQ,Geraldton,
GYO,Bandar Udara Senubung,
HIT,Haivaro,
YNN,Yandi,
MEO,Dare County Regional,
HSF,Suifenhe Dongning Airport,
MEY,Meghauli,
YOG,Ogoki,
YEL,Elliot Lake,
INR,Kincheloe AFB,
YFH,Fort Hope,
RDL,Al Bardawil International Airport,
VCC,New Vacaria Airport,
CSP,Cape Spencer C G Heliport,
MKZ,Malacca International Airport,
MLC,Mc Alester,
YFS,Fort Simpson,
GDB,Gondia Airport,
AEI,Algeciras,
LCO,Lague,
MLE,Male International Airport,
AQG,Anqing Tianzhushan Airport,
VBM,Blue Mountain,
YHU,St. Hubert Airport,
YIV,Island Lake Airport,
QMK,Heliport,
JCS,Aeroporto De Crateus Airport,
AQI,Qaisumah Airport,
YGW,Kuujjuarapik Airport,
AQJ,King Hussein International Airport,
YHF,Hearst,
ATP,Airstrip,
AUP,Agaun,
MLG,Abdul Rachman Saleh Airport,
LVI,Livingstone Airport,
AHA,Naha AFB,
AME,Alto Molocue,
BCZ,Bickerton Island,
AXO,Bandar Udara Pantar,
MDN,Jefferson Proving Grd,
YLR,Leaf Rapids,
CNY,Canyonlands Field,
CTV,Catoca Airport,
CWP,Campbellpore,
YLJ,Meadow Lake,
MDG,Mudanjiang Airport,
BCP,Bambu,
MEK,Meknes,
JPO,Brigadeiro Firmino Ayres Airport,
JPE,Nagib Demachki Airport,
JPY,Paraty Airport,
YJF,Fort Liard,
YCM,Niagara District Airport,
BHL,Bahia Angeles,
MEA,Macae,
MEF,Melfi,
NNK,Naknek,
WTL,Tuntutuliak,
YPS,Port Hawkesbury,
OOD,Gudai-Darri Airstrip,
YPR,Digby Island Airport,
VSK,Vista Field,
BNF,Warm Spring Bay SPB,
CGX,Merrill C Meigs,
CHW,Jiuhuang,
COD,Yellowstone Regional Airport,
MEG,Malange,
XOF,Stratford International Rail Station,
MEP,Mersing,
AKV,Akulivik,
ANH,Anuha Island Resort,
YKJ,Key Lake,
YMG,Manitouwadge,
BDO,Husein Sastranegara Airport,
YUD,Umiujaq,
YFJ,Snare Lake,
DSY,Dara Sakor International Airport,
YPC,Paulatuk,
BDQ,Vadodara Airport,
LAK,Aklavik,
MEJ,Meadville,
EWR,Newark Liberty International Airport,
MEQ,Seunagan,
YXN,Whale Cove,
IUP,Lorenzo Airport,
MEU,Monte Dourado,
RLD,Richland,
LEG,Aleg,
YSK,Sanikiluaq Airport,
MER,Castle AFB,
MES,Polonia,
NOR,Nordfjordur,
YCK,Colville Lake,
MFG,Muzaffarabad,
MFI,Municipal,
YSP,Marathon,
YST,Ste Therese Point,
YTA,Pembroke And Area Airport,
BXL,Blue Lagoon,
YTQ,Tasiujuaq Airport,
COH,Cooch Behar,
DDD,Dhaalu Airport,
YTW,Yutian Wanfang Airport,
YGZ,Grise Fiord,
YLH,Lansdowne House,
DUN,Dundas,
YTL,Big Trout,
COK,Cochin International Airport,
DWF,Wright AFB,
EFB,Eight Fathom Bight,
JDE,Jiande Qiandaohu Airport,
CYA,Les Cayes,
MFK,Matsu Beigan Airport,
MEW,Mweka,
MFF,Moanda,
SPK,Sapporo,Hokaido
YVM,Qikiqtarjuaq,
MFS,Miraflores,
MFT,Machu Picchu,
WTC,World Trade Center,
MBN,Mt Barnett,
MFQ,Maradi,
AGZ,Aggeneys,
DBR,Darbhanga Airport,
DDC,Dodge City Municipal Airport,
MFR,Rogue Valley International-Medford Airport,
MZD,Mendez,
YPB,Port Alberni,
ZLT,La Tabatiere,
LPB,El Alto International Airport,
YNL,Points North Landing,
DIO,Diomede Island,
YYL,Lynn Lake,
YYU,Kapuskasing Airport,
EEA,Aeroporto Regional do Planalto Serrano,
TKM,El Peten,
ERH,Moulay Ali Cherif Airport,
ERI,Erie International Airport,
ERL,Eren Hot Airport,
EXT,Exeter International Airport,
FFA,First Flight,
SUR,Summer Beaver,
XGL,Granville Lake,
NEI,Terney Airport,
LPF,Liupanshui Yuezhao Airport,
KES,Kelsey,
YSI,Sans Souci,
YTH,Thompson,
BYX,Baniyala,
CGA,Craig SPB,
WHB,Eliwana Airport,
LPT,Lampang Airport,
LTK,Latakia,
ZGI,Gods River Airport,
MAW,Malden,
AGL,Wanigela,
MAX,Matam,
BFB,Blue Fox Bay,
YZP,Sandspit Airport,
YZT,Port Hardy Airport,
YTD,Thicket Portage,
ZPB,Sachigo Lake Airport,
MBA,Moi International Airport,
MGZ,Myeik Airport,
MHD,Mashhad International Airport,
OBA,Oban,
LBG,Le Bourget,
LBQ,Lambarene,
CGC,Cape Gloucester,
RNA,Ulawa Airport,
DLO,Dolomi,
EYP,El Yopal Airport,
EYW,Key West International Airport,
EZE,Ministro Pistarini Airport,
HCZ,Chenzhou Beihu Airport,
SDZ,Shetland Islands,
BVD,Sea Port,
MLH,EuroAirport Basel-Mulhouse-Freiburg,
ZST,Stewart,
DGE,Mudgee,
DGT,Dumaguete Airport,
DWN,Downtown Airpark,
FNA,Lungi International Airport,
MNM,Menominee,
MNO,Manono,
MQT,Sawyer International Airport,
MHG,Mannheim Airport,
MHH,Marsh Harbour International Airport,
MHK,Manhattan Municipal Airport,
MHQ,Mariehamn Airport,
YCQ,Chetwynd,
LDH,Lord Howe Island Airport,
YED,Namao Field,
MQQ,Moundou,
MQS,Mustique,
LOZ,Corbin-london,
LPA,Gran Canaria Airport,
LOQ,Lobatse,
LPE,La Primavera,
LPI,Linkoping City Airport,
PRS,Parasi,
QJI,Heliport,
YAE,Alta Lake,
AFR,Afore,
AHI,Amahai,
CBZ,Cabin Creek,
CMU,Chimbu,
FNB,Neubrandenburg,
FNC,Madeira Airport,
FND,Funadhoo Airport,
GOF,Goodfellow AFB,
HHP,H K Heliport,
HLT,Hamilton,
MQU,Mariquita,
ADD,Addis Ababa Bole International Airport,
DVD,Andavadoaka,
MRB,Eastern Wv Regional Airport/Shepherd Field,
MRO,Masterton/Hood Aerodrome,
MRQ,Marinduque,
MTO,Coles County Memorial,
MSO,Missoula International Airport,
MSP,Minneapolis-St. Paul International Airport,
MSQ,Minsk National Airport,
LPG,La Plata,
LPJ,Pijiguaos,
LPK,Lipetsk Airport,
JOC,Centerport Heliport,
JSN,Sherman Oaks Heliport,
YNF,Deer Lake/Stephenville,
YNR,Arnes,
YNE,Norway House Airport,
KKF,Kagvik Creek,
LPO,Municipal,
LPX,Liepaya Airport,
LPY,Loudes Airport,
OCC,Coca Airport,
OCH,A L Mangham Jr. Regional,
KBK,Klag Bay,
SGG,Simanggang,
DJU,Djupivogur,
DKA,Katsina,
HAE,Havasupai,
HAP,Long Island,
HCB,Shoal Cove,
ILY,Glenegedale Airport,
IMK,Simikot,
IMQ,Maku International Airport,
ABJ,Felix Houphouet Boigny Airport,
IXI,Lilabari Airport,
WNC,Naukati Bay SPB,
JRD,Heliport,
NBP,Battery Pk City/N. Cov,
LQK,Pickens,
LQM,Puerto Leguizamo,
LRB,Leribe,
LRT,Lann Bihoue Airport,
LRU,Municipal,
IXJ,Satwari Airport,
AEK,Aseki,
ARL,Arly,
LRV,Los Roques,
LSB,Lordsburg,
LSD,Blue Grass Station Army Heliport,
LSK,Lusk,
LSM,Lawas,
LSN,Los Banos,
LSO,Talmont,
BWE,Braunschweig,
CHI,Chicago FSS,
CKX,Chicken,
LSQ,Los Angeles,
LSV,Nellis AFB,
CRY,Carlton Hill,
CSL,O Sullivan Army Air Field,
DMM,King Fahd International Airport,
ITO,Hilo International Airport,
ITP,Itaperuna,
IWS,West Houston,
IXA,Agartala Airport,
IXB,Bagdogra Airport,
IXC,Chandigarh Airport,
IXD,Bamrauli Airport,
IXE,Mangalore Airport,
IXK,Keshod,
MUV,Mustin Alf,
LSW,Malikus Saleh Airport,
LSX,Lhok Sukon,
IXM,Madurai Airport,
AAT,Altay Airport,
ABB,Asaba International Airport,
YCV,Cartierville,
AFS,Zarafshan,
AIC,Airok,
XYP,Avesta Krylbo,
TRP,Tree Point Heliport,
LSZ,Losinj Airport,
LTA,Letaba,
LTB,Latrobe,
LTC,Lai,
LTD,Ghadames,
LRF,Little Rock AFB,
LTG,Langtang,
YMC,Maricourt Airstrip,
LSC,La Florida Airport,
LTI,Altai,
IXR,Birsa Munda Airport,
AGG,Angoram,
IXU,Chikkalthana Airport,
LSE,La Crosse Regional Airport,
LSL,Los Chiles,
LSP,Josefa Camejo Airport,
CIV,Chomley,
CLC,Metroport,
CRJ,Coorabie,
CWS,Center Island,
DMO,Sedalia,
DRS,Dresden International Airport,
IXW,Sonari,
IXY,Kandla,
IXZ,Port Blair Airport,
JGA,Govardhanpur Airport,
JGB,Jagdalpur,
JGD,Jiagedaqi Airport,
NDP,Ellyson NAS,
LSS,Terre-de-Haut,
LST,Launceston Airport,
