Abbr,Term,Country
00A,Total Rf Heliport,US
00AA,Aero B Ranch Airport,US
00AK,Lowell Field,US
00AL,Epps Airpark,US
00AR,Newport Hospital & Clinic Heliport,US
00AS,Fulton Airport,US
00AZ,Cordes Airport,US
00CA,Goldstone (GTS) Airport,US
00CL,Williams Ag Airport,US
00CN,Kitchen Creek Helibase Heliport,US
00CO,Cass Field,US
00FA,Grass Patch Airport,US
00FD,Ringhaver Heliport,US
00FL,River Oak Airport,US
00GA,Lt World Airport,US
00GE,Caffrey Heliport,US
00HI,Kaupulehu Heliport,US
00ID,Delta Shores Airport,US
00IG,Goltl Airport,US
00II,Bailey Generation Station Heliport,US
00IL,Hammer Airport,US
00IN,St Mary Medical Center Heliport,US
00IS,Hayenga's Cant Find Farms Airport,US
00KS,Hayden Farm Airport,US
00KY,Robbins Roost Airport,US
00LA,Shell Chemical East Site Heliport,US
00LL,Ac & R Components Heliport,US
00LS,Lejeune Airport,US
00MD,Slater Field,US
00MI,Dow Chemical Heliport,US
00MN,Battle Lake Municipal Airport,US
00MO,Cooper Flying Service Airport,US
00MT,Livingston Healthcare Heliport,US
00N,Bucks Airport,US
00NC,North Raleigh Airport,US
00NJ,Colgate-Piscataway Heliport,US
00NK,Cliche Cove Seaplane Base,US
00NY,Weiss Airfield,US
00OH,Exit 3 Airport,US
00OI,Miami Valley Hospital Heliport,US
00OK,Gull Bay Landing Airport,US
00OR,Steel Systems Heliport,US
00PA,R J D Heliport,US
00PN,Ferrell Field,US
00PS,Thomas Field,US
00S,McKenzie Bridge State Airport,US
00SC,Flying O Airport,US
00SD,Homan Field,US
00TA,SW Region FAA Heliport,US
00TE,Tcjc-Northeast Campus Heliport,US
00TN,Ragsdale Road Airport,US
00TS,Alpine Range Airport,US
00TX,San Jacinto Methodist Hospital Heliport,US
00UT,Clear Creek Ranch Airport,US
00VA,Vaughan Airport,US
00VI,Groundhog Mountain Airport,US
00W,Lower Granite State Airport,US
00WA,Howell Airport,US
00WI,Northern Lite Airport,US
00WN,Hawks Run Airport,US
00WV,Lazy J. Aerodrome,US
00WY,Mountain View Regional Hospital Heliport,US
00XS,L P Askew Farms Airport,US
01A,Purkeypile Airport,US
01AK,Providence Seward Medical Center Heliport,US
01AL,Ware Island Airport,US
01AN,McHone Heights Airport,US
01AR,DeQueen Medical Center Heliport,US
01AZ,Yat Heliport,US
01C,Grant Airport,US
01CA,SCE Lugo Substation Heliport,US
01CL,Swansboro Country Airport,US
01CN,Los Angeles County Sheriff's Department Heliport,US
01CO,St Vincent General Hospital Heliport,US
01CT,Berlin Fairgrounds Heliport,US
01FA,Rybolt Ranch Airport,US
01FD,Advent Health Altamonte Springs Heliport,US
01FL,Cedar Knoll Flying Ranch Airport,US
01GA,Medical Center Heliport,US
01GE,The Farm Airport,US
01IA,Stender Airport,US
01ID,Lava Hot Springs Airport,US
01II,Myers Field,US
01IL,Hoopeston Community Memorial Hospital Heliport,US
01IN,Community Hospital Heliport,US
01IS,William E. Koenig Airport,US
01J,Hilliard Airpark,US
01K,Caldwell Municipal Airport,US
01KS,Flying N Ranch Airport,US
01KY,Lourdes Hospital Heliport,US
01LA,Barham Airport,US
01LL,Schumaier Restricted Landing Area,US
01LS,Country Breeze Airport,US
01MA,Compaq Andover Heliport,US
01MD,Annapolis Seaplane Base,US
01ME,Saint Peter's Seaplane Base,US
01MI,Flow Through Terminal Heliport,US
01MN,Barnes Seaplane Base,US
01MO,Highway Patrol Troop C Headquarters Heliport,US
01MT,Crystal Lakes Resort Airport,US
