A,B,C,D,E,F,G
" ","P"," "," "," "," ","H"
" ","O"," "," "," "," ","A"
" ","W"," "," "," "," ","V"
" ","E"," "," "," "," ","E"
" ","R"," "," "," "," "," "
" ","S"," "," "," "," ","F"
" ","H"," "," "," "," ","U"
" ","E"," "," "," "," ","N"
" ","L"," "," "," "," "," "
" ","L"," "," "," "," "," "
" "," "," "," "," "," "," "
" ","R"," "," "," "," "," "
" ","U"," "," "," "," "," "
" ","L"," "," "," "," "," "
" ","E"," "," "," "," "," "
" ","S"," "," "," "," "," "
" "," "," "," "," "," "," "
" "," "," "," "," "," "," "
" "," "," "," "," "," "," "
" "," "," "," "," "," "," "
