ErrorString,ExitCode,Hex Value,Description,
ERROR_SUCCESS,0,0x0,The operation completed successfully.,
ERROR_INVALID_FUNCTION,1,0x1,Incorrect function.,
ERROR_FILE_NOT_FOUND,2,0x2,The system cannot find the file specified.,
ERROR_PATH_NOT_FOUND,3,0x3,The system cannot find the path specified.,
ERROR_TOO_MANY_OPEN_FILES,4,0x4,The system cannot open the file.,
ERROR_ACCESS_DENIED,5,0x5,Access is denied.,
ERROR_INVALID_HANDLE,6,0x6,The handle is invalid.,
ERROR_ARENA_TRASHED,7,0x7,The storage control blocks were destroyed.,
ERROR_NOT_ENOUGH_MEMORY,8,0x8,Not enough storage is available to process this command.,
ERROR_INVALID_BLOCK,9,0x9,The storage control block address is invalid.,
ERROR_BAD_ENVIRONMENT,10,0xA,The environment is incorrect.,
ERROR_BAD_FORMAT,11,0xB,An attempt was made to load a program with an incorrect format.,
ERROR_INVALID_ACCESS,12,0xC,The access code is invalid.,
ERROR_INVALID_DATA,13,0xD,The data is invalid.,
ERROR_OUTOFMEMORY,14,0xE,Not enough storage is available to complete this operation.,
ERROR_INVALID_DRIVE,15,0xF,The system cannot find the drive specified.,
ERROR_CURRENT_DIRECTORY,16,0x10,The directory cannot be removed.,
ERROR_NOT_SAME_DEVICE,17,0x11,The system cannot move the file to a different disk drive.,
ERROR_NO_MORE_FILES,18,0x12,There are no more files.,
ERROR_WRITE_PROTECT,19,0x13,The media is write protected.,
ERROR_BAD_UNIT,20,0x14,The system cannot find the device specified.,
ERROR_NOT_READY,21,0x15,The device is not ready.,
ERROR_BAD_COMMAND,22,0x16,The device does not recognize the command.,
ERROR_CRC,23,0x17,Data error (cyclic redundancy check).,
ERROR_BAD_LENGTH,24,0x18,The program issued a command but the command length is incorrect.,
ERROR_SEEK,25,0x19,The drive cannot locate a specific area or track on the disk.,
ERROR_NOT_DOS_DISK,26,0x1A,The specified disk or diskette cannot be accessed.,
ERROR_SECTOR_NOT_FOUND,27,0x1B,The drive cannot find the sector requested.,
ERROR_OUT_OF_PAPER,28,0x1C,The printer is out of paper.,
ERROR_WRITE_FAULT,29,0x1D,The system cannot write to the specified device.,
ERROR_READ_FAULT,30,0x1E,The system cannot read from the specified device.,
ERROR_GEN_FAILURE,31,0x1F,A device attached to the system is not functioning.,
ERROR_SHARING_VIOLATION,32,0x20,The process cannot access the file because it is being used by another process.,
ERROR_LOCK_VIOLATION,33,0x21,The process cannot access the file because another process has locked a portion of the file.,
ERROR_WRONG_DISK,34,0x22,The wrong diskette is in the drive. Insert %2 (Volume Serial Number: %3) into drive %1.,
ERROR_SHARING_BUFFER_EXCEEDED,36,0x24,Too many files opened for sharing.,
ERROR_HANDLE_EOF,38,0x26,Reached the end of the file.,
ERROR_HANDLE_DISK_FULL,39,0x27,The disk is full.,
ERROR_NOT_SUPPORTED,50,0x32,The request is not supported.,
ERROR_REM_NOT_LIST,51,0x33,"Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path, contact your network administrator.",
ERROR_DUP_NAME,52,0x34,"You were not connected because a duplicate name exists on the network. If joining a domain, go to System in Control Panel to change the computer name and try again. If joining a workgroup, choose another workgroup name.",
ERROR_BAD_NETPATH,53,0x35,The network path was not found.,
ERROR_NETWORK_BUSY,54,0x36,The network is busy.,
ERROR_DEV_NOT_EXIST,55,0x37,The specified network resource or device is no longer available.,
ERROR_TOO_MANY_CMDS,56,0x38,The network BIOS command limit has been reached.,
