GROUP,	 FOLDERNAME,    	BRANCH,  FULL,	URL
Dev,	 base256unicode,	main,    no,	"git@github.com:fleschutz/base256unicode"
Dev,	 bazel,			master,	 no,	"git@github.com:bazelbuild/bazel"
Dev,	 cmake,			master,	 no,	"git@github.com:Kitware/CMake"
Fun,	 cmatrix,		master,	 no,	"git@github.com:abishekvashok/cmatrix"
Tool,	 cmark,			master,	 no,	"git@github.com:commonmark/cmark"
Dev,	 CWTS,			master,  no,	"git@github.com:fleschutz/CWTS"
Math,	 CSS,			main,	 no,	"git@github.com:chikitpao/CSS"
Tool,	 elasticsearch,		main,	 no,	"git@github.com:elastic/elasticsearch"
Tool,	 go-ipfs,		master,	 no,	"git@github.com:ipfs/go-ipfs"
Tool,	 grafana,		main,	 no,	"git@github.com:grafana/grafana"
Tool,	 leon,          	master,  no,	"git@github.com:leon-ai/leon"
Dev,	 llvm,			master,  no,	"git@github.com:llvm/llvm-project"
Math,	 LSS,			master,	 no,	"git@github.com:fleschutz/LSS"
Dev,	 ninja,			master,  no,	"git@github.com:ninja-build/ninja"
Libs,	 opencv,		master,  no,	"git@github.com:opencv/opencv"
Tool,	 operating-systems,	main,	 no,	"git@github.com:fleschutz/operating-systems"
Shell,	 PowerShell,		master,  no,	"git@github.com:fleschutz/PowerShell"
Shell,	 pwsh,			master,  no,	"git@github.com:PowerShell/PowerShell"
Dev,	 protobuf,		main,	 no,	"git@github.com:protocolbuffers/protobuf"
Dev,	 rust,			master,  no,	"git@github.com:rust-lang/rust"
Tool,	 smartmontools,		master,  no,	"git@github.com:smartmontools/smartmontools"
Tool,	 talk2windows,		main,    no,	"git@github.com:fleschutz/talk2windows.git"
Tool,	 tensorflow,		master,  no,	"git@github.com:tensorflow/tensorflow"
Tool,	 terminal,		main,    no,	"git@github.com:microsoft/terminal"
Dev,	 tinycc,		mob,     no,	"git@github.com:TinyCC/tinycc"
Tool,	 voice2json,		master,  no,	"git@github.com:synesthesiam/voice2json"
Tool,	 zfs,			master,  no,	"git@github.com:openzfs/zfs"
