Directory,URL
"base256unicode",	"https://github.com/fleschutz/base256unicode"
"cmake",		"https://github.com/Kitware/CMake"
"cmatrix",		"https://github.com/abishekvashok/cmatrix"
"cmark",		"https://github.com/commonmark/cmark"
"CWTS",			"https://github.com/fleschutz/CWTS"
"elasticsearch",	"https://github.com/elastic/elasticsearch"
"grafana",		"https://github.com/grafana/grafana"
"llvm",			"https://github.com/llvm/llvm-project"
"ninja",		"git://github.com/ninja-build/ninja.git"
"opencv",		"https://github.com/opencv/opencv"
"OSMA",			"https://github.com/fleschutz/OSMA"
"PowerShell",		"https://github.com/fleschutz/PowerShell"
"LSS",			"https://github.com/fleschutz/LSS"
"protobuf",		"https://github.com/protocolbuffers/protobuf"
"smartmontools",	"https://github.com/smartmontools/smartmontools"
"tensorflow",		"https://github.com/tensorflow/tensorflow"
"tinycc",		"https://github.com/TinyCC/tinycc"
"voice2json",		"https://github.com/synesthesiam/voice2json"
"zfs",			"https://github.com/openzfs/zfs"
