NAME,URL
Toggl Track,"https://track.toggl.com/timer"
Google Calendar,"https://calendar.google.com/calendar/u/0/r/agenda"
Google News,"https://news.google.com"
GitHub Explore,"https://github.com/explore"
Windy Weather,"https://www.windy.com/de/-Wetterradar-radar"
FlightRadar24,"https://www.flightradar24.com/27.63,-6.98/3"
Latest Earthquakes,"https://www.arcgis.com/apps/dashboards/c8af9c5411814584b460cc87cb7c3780"
Live Cyber Threat Map,"https://threatmap.checkpoint.com"
Webcams,"https://www.foto-webcam.eu"
Webcam peak Zugspitze,"https://zugspitze.panomax.com"
Webcam airport Salzburg,"https://livecam.salzburg-airport.com"
