FOLDERNAME,        CATEGORY,           BRANCH,  FULL,   URL
base256unicode,    dev tool,           main,    no,     "git@github.com:fleschutz/base256unicode.git"
bazel,             build tool,         master,  no,     "git@github.com:bazelbuild/bazel.git"
cmake,             build tool,         master,  no,     "git@github.com:Kitware/CMake.git"
cmatrix,           CLI fun,            master,  no,     "git@github.com:abishekvashok/cmatrix.git"
cmark,             tool,               master,  no,     "git@github.com:commonmark/cmark.git"
CWTS,              dev tool,           master,  no,     "git@github.com:fleschutz/CWTS.git"
CSS,               math tool,          main,    no,     "git@github.com:chikitpao/CSS.git"
elasticsearch,     search tool,        main,    no,     "git@github.com:elastic/elasticsearch.git"
kubo,              file sharing tool,  master,  no,     "git@github.com:ipfs/kubo.git"
grafana,           visualization tool, main,    no,     "git@github.com:grafana/grafana.git"
jhead,		   EXIF tool,          master,  no,     "git@github.com:Matthias-Wandel/jhead"
leon,              personal assistant, master,  no,     "git@github.com:leon-ai/leon.git"
llvm,              compiler,           master,  no,     "git@github.com:llvm/llvm-project.git"
LSS,               math,               master,  no,     "git@github.com:fleschutz/LSS.git"
ninja,             build tool,         master,  no,     "git@github.com:ninja-build/ninja.git"
opencv,            lib,                master,  no,     "git@github.com:opencv/opencv.git"
operating-systems, collection,         main,    no,     "git@github.com:fleschutz/operating-systems.git"
papers,            collection,         main,    no,     "git@github.com:fleschutz/papers.git"
PowerShell,        collection,         master,  no,     "git@github.com:fleschutz/PowerShell.git"
pwsh,              shell,              master,  no,     "git@github.com:PowerShell/PowerShell.git"
protobuf,          dev,                main,    no,     "git@github.com:protocolbuffers/protobuf.git"
rust,              compiler,           master,  no,     "git@github.com:rust-lang/rust.git"
smartmontools,     SSD/HDD tool,       master,  no,     "git@github.com:smartmontools/smartmontools.git"
talk2windows,      tool,               main,    no,     "git@github.com:fleschutz/talk2windows.git"
tensorflow,        tool,               master,  no,     "git@github.com:tensorflow/tensorflow.git"
terminal,          desktop tool,       main,    no,     "git@github.com:microsoft/terminal.git"
tinycc,            compiler,           mob,     no,     "git@github.com:TinyCC/tinycc.git"
voice2json,        tool,               master,  no,     "git@github.com:synesthesiam/voice2json.git"
zfs,               tool,               master,  no,     "git@github.com:openzfs/zfs.git"
