FOLDERNAME,        CATEGORY,           BRANCH,  SHALLOW, URL,
base256unicode,    dev tool,           main,    yes,      "git@github.com:fleschutz/base256unicode.git",
bazel,             build tool,         master,  yes,      "git@github.com:bazelbuild/bazel.git",
cmake,             build tool,         master,  yes,      "git@github.com:Kitware/CMake.git",
cmatrix,           CLI fun,            master,  yes,      "git@github.com:abishekvashok/cmatrix.git",
cmark,             tool,               master,  yes,      "git@github.com:commonmark/cmark.git",
CWTS,              dev tool,           main,    yes,      "git@github.com:fleschutz/CWTS.git",
elasticsearch,     search tool,        main,    yes,      "git@github.com:elastic/elasticsearch.git",
kubo,              file sharing tool,  master,  yes,      "git@github.com:ipfs/kubo.git",
grafana,           visualization tool, main,    yes,      "git@github.com:grafana/grafana.git",
jhead,		   EXIF tool,          master,  yes,      "git@github.com:Matthias-Wandel/jhead",
leon,              personal assistant, master,  yes,      "git@github.com:leon-ai/leon.git",
llvm,              compiler,           main,    yes,      "git@github.com:llvm/llvm-project.git",
LSS,               math tool,          main,    yes,      "git@github.com:fleschutz/LSS.git",
ninja,             build tool,         master,  yes,      "git@github.com:ninja-build/ninja.git",
opencv,            lib,                master,  yes,      "git@github.com:opencv/opencv.git",
operating-systems, collection,         main,    yes,      "git@github.com:fleschutz/operating-systems.git",
papers,            collection,         main,    yes,      "git@github.com:fleschutz/papers.git",
PowerShell,        collection,         master,  yes,      "git@github.com:fleschutz/PowerShell.git",
pwsh,              shell,              master,  yes,      "git@github.com:PowerShell/PowerShell.git",
protobuf,          dev,                main,    yes,      "git@github.com:protocolbuffers/protobuf.git",
rust,              compiler,           master,  yes,      "git@github.com:rust-lang/rust.git",
smartmontools,     SSD/HDD tool,       master,  yes,      "git@github.com:smartmontools/smartmontools.git",
talk2windows,      tool,               main,    yes,      "git@github.com:fleschutz/talk2windows.git",
tensorflow,        tool,               master,  yes,      "git@github.com:tensorflow/tensorflow.git",
terminal,          desktop tool,       main,    yes,      "git@github.com:microsoft/terminal.git",
tinycc,            compiler,           mob,     yes,      "git@github.com:TinyCC/tinycc.git",
voice2json,        tool,               master,  yes,      "git@github.com:synesthesiam/voice2json.git",
zfs,               tool,               master,  yes,      "git@github.com:openzfs/zfs.git",
