PROVIDER,                                      IPv4_PRI,      IPv4_SEC,
"AdGuard DNS (Cyprus)",                        94.140.14.14,  94.140.15.15,
"CleanBrowsing",                               185.228.168.9, 185.228.169.9,
"Cloudflare Public DNS (USA, standard)",       1.1.1.1,       1.0.0.1,
"Cloudflare Public DNS (with malware blocklist)", 1.1.1.2,    1.0.0.2,
"Cloudflare Public DNS (with malware+adult blocklist)", 1.1.1.3, 1.0.0.3,
"Control D (Canada)",                          76.76.2.0,     76.76.10.0,
"DNS0.eu (standard)",                          193.110.81.0,  185.253.5.0,
"DNS0.eu (for kids)",                          193.110.81.1,  185.253.5.1,
"DNS0.eu (zero)",                              193.110.81.9,  185.253.5.9,
"Google Public DNS (USA)",                     8.8.8.8,       8.8.4.4,
"Level3 one",                                  4.2.2.1,       4.2.2.1,
"Level3 two",                                  4.2.2.2,       4.2.2.2,
"Level3 three",                                4.2.2.3,       4.2.2.3,
"Level3 four",                                 4.2.2.4,       4.2.2.4,
"Level3 five",                                 4.2.2.5,       4.2.2.5,
"Level3 six",                                  4.2.2.6,       4.2.2.6,
"OpenDNS (basic)",                             208.67.222.222, 208.67.220.220,
"OpenDNS (family shield)",                     208.67.222.123, 208.67.220.123, 
"OpenNIC Project",                             94.247.43.254, 94.247.43.254,
"Quad9 (with malware blocklist, with DNSSEC)", 9.9.9.9,       149.112.112.112,
"Quad9 (no malware blocklist, no DNSSEC)",     9.9.9.10,      9.9.9.10,
"Quad9 (with malware blocklist, with DNSSEC, with EDNS)", 9.9.9.11, 9.9.9.11,
"Quad9 (with malware blocklist, with DNSSEC, NXDOMAIN only)", 9.9.9.12, 9.9.9.12,
"Verisign Public DNS (USA)",                   64.6.64.6,     64.6.65.6,
