CATEGORY,AUTHOR,QUOTE,
IQ,Thomas Edison,"Genius is one percent inspiration and ninety-nine percent perspiration.",
Life,Abraham Lincoln,"In the end, it's not the years in your life that count. It's the life in your years.",
Life,Albert Einstein,"Only a life lived for others is a life worthwhile.",
Life,Marilyn Monroe,"Keep smiling, because life is a beautiful thing and there's so much to smile about.",
Life,James M. Barrie,"Life is a long lesson in humility.",
Life,Bob Marley,"Love the life you live. Live the life you love.",
Life,Ray Bradbury,"Life is trying things to see if they work.",
Life,Helen Keller,"Life is either a daring adventure or nothing at all.",
Life,John Lennon,"Life is what happens when you're busy making other plans.",
Life,Jonathan Swift,"May you live all the days of your life.",
Misc,Abraham Lincoln,"The best thing about the future is that it only comes one day at a time.",
Misc,Albert Einstein,"Learn from yesterday, live for today, hope for tomorrow.",
Misc,Anne Frank,"Whoever is happy will make others happy too.",
Misc,Aristotle,"It is during our darkest moments that we must focus to see the light.",
Misc,Benjamin Franklin,"Tell me and I forget. Teach me and I remember. Involve me and I learn.",
Misc,Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them.",
Misc,Eleanor Roosevelt,"The future belongs to those who believe in the beauty of their dreams.",
Misc,Johann Wolfgang von Goethe,"Difficulties increase the nearer we get to the goal.",
Misc,Michelangelo,"Faith in oneself is the best and safest course.",
Misc,Sophocles,"It takes both sunshine and rain to make a rainbow.",
Misc,Mahatma Gandhi,"We must become the change we want to see.",
Misc,Johann Wolfgang von Goethe,"Knowing is not enough; we must apply!",
Misc,Immanuel Kant,"Science is organized knowledge. Wisdom is organized life.",
Misc,Indira Gandhi,"You can't shake hands with a clenched fist.",
Misc,Pierre Auguste Renoir,"The pain passes, but the beauty remains.",
Misc,Heraclitus,"All is flux; nothing stays still.",
Misc,Japanese proverb,"The day you decide to do it is your lucky day.",
Misc,Epictetus,"We have two ears and one mouth so that we can listen twice as much as we speak.",
Misc,Cervantes,"Be slow of tongue and quick of eye.",
Misc,Nelson Mandela,"The greatest glory in living lies not in never falling, but in rising every time we fall.",
Misc,Mother Teresa,"Spread love everywhere you go. Let no one ever come to you without leaving happier.",
Misc,Mae West,"You only live once, but if you do it right, once is enough.",
Misc,Hans Christian Andersen,"Life itself is the most wonderful fairy tale.",
Misc,Walt Disney,"The way to get started is to quit talking and begin doing.",
Misc,William Shakespeare,"Having nothing, nothing can he lose.",
Misc,Tony Robbins,"The only impossible journey is the one you never begin.",
Misc,Ralph Waldo Emerson,"Do not go where the path may lead, go instead where there is no path and leave a trail.",
Misc,Margaret Mead,"Always remember that you are absolutely unique. Just like everyone else.",
Misc,J.K. Rowling,"When in doubt go to the library.",
Success,Albert Einstein,"Try not to become a man of success, but rather try to become a man of value.",
Success,Steve Jobs,"If you really look closely, most overnight successes took a long time.",
Success,Oprah Winfrey,"You know you are on the road to success if you would do your job and not be paid for it.",
Success,David Brinkley,"A successful man is one who can lay a firm foundation with the bricks others have thrown at him.",
Success,Estee Lauder,"I never dreamed about success, I worked for it.",
Success,Henry David Thoreau,"Success usually comes to those who are too busy to be looking for it.",
Success,Colin Powell,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",
Success,John D. Rockefeller,"The secret of success is to do the common thing uncommonly well.",
