Abbr,Context,Description
AB,aviation,Air Base
AC,aviation,Aircraft
ACAS,aviation,Airborne Collision Avoidance System
AF,aviation,Air Field
AFM,aviation,Aircraft Flight Manual
AIP,aviation,Aeronautical Information Publication
AMAN,aviation,Arrival Manager
AOA,aviation,Angle of Attack
AOM,aviation,Airplane Operating Manual
AOR,aviation,Area of Responsibility
AFIS,aviation,Aerodrome Flight Information Service
AFM,aviation,Airplane Flight Manual
AGL,aviation,Above Ground Level
AIP,aviation,Aeronautical Information Publication
ANSP,aviation,Air Navigation Service Provider
ATA,aviation,Actual Time of Arrival
ATIS,aviation,Automatic Terminal Information Service
ATO,aviation,Air Traffic Organization
BAF,aviation,Belgian Air Force
CAAC,aviation,Civil Aviation Administration of China
CAAS,aviation,Civil Aviation Authorization of Singapore
CANSO,aviation,Civil Air Navigation Services Organization (founded 1996, located in Amsterdam)
CAS,aviation,Calibrated Airspeed
CAT,aviation,Category of aircraft
CAVOK,aviation,Ceiling And Visibility OK
COG,aviation,Center of Gravity
CRDA,aviation,Converging Runway Display Aid
CTA,aviation,Controlled Time of Arrival
CTOT,aviation,Calculated Take-Off Time
IAS,aviation,Indicated Air Speed
