TERM,MEANING
btl,Bottle
c,Cup
C,Cups
DF,Dairy free
doz,dozen
dp,drop
fl oz,Fluid ounce
fl ozs,Fluid ounces
g,Grams
gal,Gallons
gals,Gallons
GF,Gluten free
kg,Kilograms
L,Litres
l,Litres
lb,Pound
lbs,Pounds
lg,large
lge,large
md,medium
med,medium
mg,Milligrams
ml,Millilitres
NRV,Nutrient Reference Value
oz,Ounce
ozs,Ounces
pers,person(s)
pn,Pinch
pt,Pint
pts,Pints
qt,Quart
qts,Quarts
RI,Reference Intake
serv,serving
sm,small
srv,serving
Tbsp,Tablespoon
tsp,Teaspoon
VG,vegetarian
VN,Vegan
WF,Wheat free
