TERM,MEANING
21CSLC,21st Century Space Launch Complex
4LGSF,Four-Laser Guide Star Facility
4MOST,4-metre Multi-Object Spectroscopic Telescope (Proposed new spectroscopic instrument for VISTA)
4T,Four Telescope (VLTI mode)
A&A,"Journal, Astronomy & Astrophysics"
A&ARv,"Journal, Annual Review of Astronomy and Astrophysics"
AAA,Amateur Astronomers Association of New York
AACS,Attitude and Articulation Control Subsystems
ACD,Amplitude Calibration Device (ALMA)
ACM,"Asteroids, Comets, and Meteors"
ACe,Astaldi Cimolai EIE (Consortium)
ADA,ALMA Department of Administration
ADCS,Attitude Determination and Control
ADO,ALMA Director’s Office
ADS,International Italian optics company working on the DSM for the VLT
AEM,ALMA construction consortium
AFNOR,"Association Française de Normalisation"
AFTA,Astrophysics Focused Telescope Assets
AGN,Active Galactic Nucleus
AIDA,Astronomical Infrastructure for Data Access
AIP,Leibniz Institute for Astrophysics Potsdam
AIT,"Assembly, Integration and Test"
AIV,"Assembly, Integration and Verification"
AJ,The Astronomical Journal
ALMA,Atacama Large Millimeter/submillimeter Array
AM0,Air Mass Zero (Space Vacuum)
AMBER,"Astronomical Multi-BEam combineR (VLTI Instrument)"
AN,"Journal, Astronomische Nachrichten"
Antu,VLT Unit Telescope 1
AO,Adaptive Optics
AOF,Adaptive Optics Facility
AOS,"Array Operations Site (ALMA)"
APE,Active Phasing Experiment
APEX,Atacama Pathfinder Experiment
ApJ,Astrophysical Journal
ApJS,"Journal, Astrophysical Journal Supplement Series"
AQUARIUS,"Mid-infrared detector array (VISIR)"
ARAL,Alignment facility for the VLTI
ARC,"ALMA Regional Centre, or Ames Research Center"
ArTeMiS,Bolometric camera for APEX
ASAC,ALMA Science Advisory Committee
ASAL,Agence Spatiale Algerienne
ASIAA,"East Asia FEIC (ALMA)"
ASIC,Application Specific Integrated Circuit
ASSIST,Adaptive Secondary Setup and Instrument Simulator (AOF test bench)
AstraLux,"Lucky Imaging camera for the Calar Alto 2.2-metre telescope"
AT,Auxiliary Telescope for the VLTI
ATC,"Astronomy Technology Centre (United Kingdom)"
ATILO,Administrative Tribunal of the International Labour Organisation
AU,"Astronomical Unit, the distance between the Earth and the Sun"
AUI,Associated Universities Inc.
AVM,Astronomical Visualisation Metadata
AXP,"Anomalous X-Ray Pulsar"
BAM,Construction company for the Headquarters extension
BE,Back-End (ALMA)
BELLA,Building Europe Link to Latin America
BFL,Budget and Forward Look
BH,Black hole
BLAST,Balloon-borne Large Aperture Submillimeter Telescope
BlackGEM,(La Silla) Telescope array searching for optical counterparts of gravitational wave sources
BLIP,Background photon noise limited
C2PAP,"Computational Center for Particle and Astrophysics, Universe Cluster, Garching"
CADC,Canadian Astronomy Data Centre
CAPj,Communicating Astronomy with the Public Journal
CARLA,Clusters Around Radio-Loud AGN (Spitzer)
CASA,Common Astronomy Software Applications (ALMA)
CBR,cosmic background radiation
CDR,Critical Design Review
CDS,"Centre de Données astronomiques de Strasbourg (Strasbourg astronomical Data Center)"
CEA,"Commissariat à L’Energie Atomique, France"
CELAC_EU,"Summit of the Community of Latin American and Caribbean States–European Union"
CES,Coude Echelle Spectrometer
CGM,Circumgalactic medium
CHAMP+,Dual channel heterodyne receiver array (APEX)
CLIF,Convolution with Linearized Inverse Filter algorithm for wavefront sensing
CM,center of mass
CMB,Cosmic Microwave Background
CMBR,Cosmic Microwave Background Radiation
CME,Coronal Mass Ejection (usually Sun)
CNAM,Conservatoire National des Arts et Métiers
CNRS,Centre national de la recherche scientifique
CO,Carbon monoxide
CO,Carried Over budget
COFUND,EU fellowship funding programme
CONDOR,"1.5 THz heterodyne receiver (APEX)"
CONICA,COudé Near-Infrared CAmera (VLT)
CORALIE,Echelle Spectrograph on the 1.2-metre Leonard Euler Swiss telescope
CoRoT,COnvection ROtation and planetary Transits (French Satellite)
COSMOS,HST survey programme
Cou-,Council Document
CP,Calibration Programme
CPI,Consumer Price Index
CRIRES+,Planned upgrade to CRIRES
CRIRES,Cryogenic InfraRed Echelle Spectrometer (VLT)
CSV,Commissioning and Science Verification
CTA,Cherenkov Telescope Array
CTA-S,Cherenkov Telescope Array South
CTAO,Cherenkov Telescope Array Observatory
CUBES,Cassegrain U-band Brazilian ESO Spectrograph
CuRe,Fast wavefront reconstruction algorithms for XAO with pyramid WFS
