TERM,MEANING
3P,"Perceive, Process, Perform"
5ANNC,Five Letter Alpha Numeric Code
5LNC,Five Letter Naming Code
5P,"Plan, Plane, Pilot, Passengers, Programming"
7500,"Transponder code for Aircraft hijacking (ICAO)"
7600,"Transponder code for Radio failure (lost communications, ICAO)"
7700,"Transponder code for Emergency (ICAO)"
A/A,Air to air TACAN function
A/C,Aircraft
A/D,Aerodrome
A/F,Autofeather
A/FD,Airport/Facility Directory
A/P,Autopilot
A/R,Altitude Rate
A-VDGS,Advanced Visual Docking Guidance System
A300,Airbus A300 twinjet
A310,Airbus A310 twinjet
A320,Airbus A320 family of twinjets
A330,Airbus A330 twinjet
A340,Airbus A340 quadjet
A350,Airbus A350 twinjet
A380,Airbus A380 quadjet
AAA,Airport Airspace Analysis
AAE,Above Aerodrome Elevation
AAF,Airway Facilities Service
AAF,Army Air Field
AAI,Arrival Aircraft Interval
AAI,Airports Authority of India
AAIB,Air Accidents Investigation Branch (UK)
AAIM,Aircraft Autonomous Integrity Monitoring
AAM,Advanced Air Mobility
AAMS,Aircraft Arrival Management System
AARTS,Army Aviation Radar Training System
AAO,Assumed Adverse Obstacle
AAS,Airport Advisory Service
AB,"Air Base, Afterburner"
ABI,Advanced Boundary Information
AC,Aircraft
ACAC,Arab Civil Aviation Conference
ACAM,Aircraft Continuing Airworthiness Monitoring
ACARS,Aircraft Communications Addressing and Reporting System
ACAS,Airborne Collision Avoidance System
ACC,Area Control Center
ACE,Airport airside Capacity Enhancement
ACI,"Airports Council International, Area of Common Interest"
ACP,Accept
AD,Air Defence
ADAC,Abu Dhabi Airports
ADEP,Aerodrome of Departure
ADES,Aerodrome of Destination
ADF,Automatic Direction Finding
ADI,Automatic De-Ice and Inhibitor
ADIRS,Air Data and Inertial Reference System
ADIRU,Air Data Inertial Reference Unit
ADIZ,Air Defense Identification Zone
ADL,Aeronautical Data Link
ADLY,Arrival Delay
ADP,Aerodrome dé Paris (Charles de Gaulle)
ADP,Automated Data Processing
ADS,"Automated Distribution System, Automatic Dependent Surveillance, Aircraft Docking System"
ADS-B,Automatic Dependent Surveillance-Broadcast
AENA,Aeropuertos Españoles y Navegación Aérea
AEO,All Engines Operative
AERA,Automated En-Route Air Traffic Control
AEW,Airborne Early Warning
AF,Air Field
AFCS,Automatic Flight Control System
AFI,Air Force Instruction
AFIS,Aerodrome Flight Information Service
AFTN,Aeronautical Fixed Telecommunication Network
AFM,Aircraft Flight Manual
AGAS,Action Group for ATM Safety (EUROCONTROL)
AGL,Above Ground Level
AGNIS,"Azimuth Guidance for Nose-In Stand (docking system)"
AH,Acceleration Height
ahdg,alter heading
AICS,Aircraft Inventory and Charter System
AID,Airport Information Desk
AIDS,Aircraft Integrated Data System
AIG,Airbus Industries Group
AILS,Automatic Instrument Landing System
AIM,Aeronautical Information Manual
AIP,Aeronautical Information Publication
AIPA,Aeronautical Information Production Application
AIRAC,Aeronautical Information Regulation And Control
AIRMET,Airmen's Meteorological Information
AIRNAV,Airports and Navigation Aids Database System
AIRNET,Airport Network Simulation Model
AIRPAC,Advisor for the Intelligent Resolution of Predicted Aircraft
ALO,Aviation Logistics Organization
ALP,Airport Layout Plan
ALPA,Airlines Pilots Association
ALS,Approach Lighting System
ALSF,Approach Lighting System With Sequenced Flashing Lights
ALSF1,ALS with Sequenced Flashers I
ALSF2,ALS with Sequenced Flashers II
ALSIP,Approach Lighting System Improvement Plan
ALTRV,Altitude Reservation
AM,Airfield Management
AMAN,Arrival Manager
AMASS,Airport Movement Area Safety System
AMCC,Air Route Traffic Control Center Maintenance Control Center
AMIC,Area Manager in Charge
AMIS,Aircraft Management Information System
AMOC,Alternative Methods of Compliance
AMOS,Automated Meteorological Observation Station
AMP,ARINC Message Processor (OR) Airport Master Plan
AMS,Acquisition Management System
AMT,Aviation Maintenance Technician
AMVER,Automated Mutual Assistance Vessel Rescue System
ANA,Administration of Air Navigation
ANC,Alternate Network Connectivity
ANCA,Airport Noise and Capacity Act
ANG,Air National Guard
ANGB,Air National Guard Base
ANMS,Automated Network Monitoring System
ANSL,Air Navigation Solutions Ltd. (UK)
ANSP,Air Navigation Service Provider
AOA,"Angle of Attack, Air Operations Area, Airport Operating Area"
AOB,Airfield Operations Board
AOC,Airline Operational Control Center
AOCC,Atlantic Operations Control Center
AODR,Authorizing Official Designated Representative
AOM,Airplane Operating Manual
AOPA,Aircraft Owners and Pilots Association
