TERM,MEANING
A,Atom
a,atto prefix (10-18)
AA,Acetic Acid
AA,Amino Acid
AA,Atomic Absorption spectroscopy
AACC,American Association for Clinical Chemistry
AADC,Amino Acid DeCarboxylase
AADC,Aromatic L-Amino acid DeCarboxylase
AAS,Atomic Absorption Spectroscopy
AB,"Acid Base, Acid Bath"
ABCC,Advanced Biomedical Computing Center
ABCC,American Board of Clinical Chemistry
ABS,"Absorb, Acrylonitrile Butadiene Styrene"
ABV,Alcohol By Volume
ABW,Alcohol By Weight
Ac,Actinium
AC,Aromatic Carbon
ACC,American Chemical Council
ACE,Acetate
ACS,American Chemical Society
ADP,Adenosine DiPhosphate
AE,Acid Equivalent
AE,Activation Energy
AE,Atomic Emission
AFS,Atomic Fluorescence Spectroscopy
Ag,Silver
AH,Aryl Hydrocarbon
AHA,Alpha Hydroxy Acid
Al,Aluminum
ALDH,ALdehyde DeHydrogenase
Am,Americium
AM,Atomic Mass
AMP,Adenosine MonoPhosphate
AMU,Atomic Mass Unit
AN,Ammonium Nitrate
ANSI,American National Standards Institute
AO,Aldehyde Oxidase
AO,Aqueous Oxygen
API,Aromatic PolyImide
AR,Analytical Reagent
Ar,Argon
AS,Ammonium Sulfate
As,Arsenic
ASA,AcetylSalicylic Acid
ASP,ASParate
ATNO,Atomic Number
AT,Adenine and Thymine
AT,Alkaline Transition
At,Astatine
ATP,Adenosine TriPhosphate
ATP,Ambient Temperature Pressure
Au,Gold
AW,Atomic Weight
B,Boron
Ba,Barium
BA,Benzyl Alcohol
BA,Bonding Activity
BA,Butyl Acetate
BAP,Benzyl Amino Purine
BC,Bond Centered
BC,Boron Carbide
BCAA,Branched Chain Amino Acid
BCC,Body Centered Cubic
BCF,Black Carbon Fiber
BD,Black Diamond
Be,Beryllium
BE,Bond Energy
BeV,Billion Electron Volt (equal to 1 GeV)
BFR,Brominated Flame Retardants
Bh,Bohrium
BHA,Butylated Hydroxy Acid
BHA,Butylated HydroxyAnisole
BHD,Benzene Hydrogen Donor
BHT,Butylated Hydroxy Toluene
Bi,Bismuth
Bk,Berkelium
BLEVE,Boiling Liquid Expanding Vapor Explosion
BM,Base Metal
BMDL,Below Method Detection Limits
BOD,Biological Organic Deposit
BOV,Blow Off Valve
BP,Benzoyl Peroxide
BP,Boiling Point
BPDE,"Benzo[A]Pyrene-Diol-Epoxide BPE,Boiling Point Elevation"
BPO,Benzoyl PerOxide
Br,Bromine
BTA,"BuTylated hydroxyAnisole"
BTEX,"Benzene, Toluene, Ethylbenzene, and Xylene"
BTTN,"1,2,4-ButaneTriol TriNitrate"
BTX,"Benzene, Toluene, Xylene"
BWR,Boiling Water Reactor
Bz,Benzoyl functional group
BZP,BenZylPiperazine
B[a]P,"Benzo[a]Pyrene"
C,Carbon
C,Celsius
c,"centi prefix (10-2)"
C,Coulomb
C,Cytosine
Ca,Calcium
CA,Citric Acid
CAB,Cation-Anion Balance
CADS,Chemical Agent Detection System
CAR,Commercial And Residential
CAS,Chemical Abstracts Service
CAW,Catalyst Altered Water
CB,Conduction Band
CBA,Cytometric Bead Array
CBR,"Chemical, Biological, Radiological"
CBRE,"Chemical, Biological, Radiological Element"
CBRN,"Chemical, Biological, Radiological, or Nuclear"
CC,Cubic Centimeter
CCBA,Chemical Coordinate Bonding and Adsorption
CCL,Contaminant Candidate List
CCM,cubic centimeter
CCS,Carbon Capture Storage
Cd,Cadmium
CDA,Clean Dry Air
CDR,Chemical Distribution Room
CDSL,Chemical Data Summary List
CDU,Chemical Dispensing Unit
Ce,Cerium
CE,Chemical Engineering
CEP,Chemical Engineering Process
Cf,Californium
CF,Carbon Fiber
CF,Ceramic Fiber
CFA,Cetylated Fatty Acid
CFC,Chlorofluorocarbon
CFRP,Carbon Fiber Reinforced Plastic
cg,centigram
CGS,"Centimeter, Gram, Second"
CHC,Chlorinated HydroCarbon
Chem,Chemistry
CHM,Chemistry
CHO,Carbohydrate
Ci,Curie
CLC,Cross Linked Cellulose
cm,centimeter
Cm,Curium
CML,Chemical Markup Language
CN,Coordination Number
CN,Cyanide
CNO,Carbon Nitrogen Oxygen
CNP,Cyclic Nucleotide Phosphodiesterase
CNT,Carbon NanoTube
CO,Carbon monoxide
Co,Cobalt
CP,Chemically Pure
CP,Creatine Phosphate
CPA,CoPolymer Alloy
CPE,Chemical Potential Energy
Cr,Chromium
CR,Corrosion Resistant
CRAP,Crude Reagent And Products
CRC,Chemical Rubber Company
CRT,Cathode Ray Tube
Cs,Cesium
CSAC,Chemical Safety Analysis and Control
CSAD,Cysteine Sulfinic Acid Decarboxylase
CSTR,Continuously Stirred Tank Reactor
Cu,Copper
CVCS,Chemical Volume Control System
CW,Chemical Warfare
CWA,Chemical Warfare Agent
d,day
d,"deci prefix (10-1)"
D,Deuterium
D,Dilute
D-,Dextrorotatory
D2O,Deuterium Oxide or Heavy Water
da,dalton
da,"deca prefix (101)"
DAB,Diaminobenzidine
DAP,DiAmmonium Phosphate
dB,decibel
DB,Double Bond
Db,Dubnium
DDT,Dichloro Diphenyl Trichloroethane
DE,Dissociation Energy
DEC,Direct Evaporative Cooling
DEG,Degree
DEG,DiEthylene Glycol
DGA,Dissolved Gas Analysis
DHA,DocosaHexanoic Acid
DHMO,DiHydrogen MonOxide (water)
DHY,Dehydrate
DI,Diffusion Index
DIAPHOX,DIAmino PHosphine OXide
DIN,Dissolved Inorganic Nitrogen
DIP,Dissolved Inorganic Phosphate
DIW,De-Ionized Water
DLC,Dry Liquid Concentrate
DLS,Dynamic Light Scattering
DM,Dipole Moment
DM,Dry Matter
DMAE,DiMethyl Amino Ethanol
DMAP,4-DiMethylAminoPyridine
DMBP,DiMethyl BenzoPhenone
DME,DiMethyl Ether
DMG,DiMethyl Glycine
DMHg,DiMethyl mercury
DMK,DiMethyl Ketone
DMSO,DiMethyl SulfOxide
DMT,DiMethylTryptamine
DNA,DeoxyriboNucleic Acid
DOC,Dissolved Organic Compounds
DP,Differential Pressure
DP,Dry Process
DPM,Dynamic Proton Model
