TERM,MEANING
Air Force Blue (RAF),RGB #5d8aa8
Air Force Blue (USAF),RGB #00308f
Air Superiority Blue,RGB #72a0c1
Alabama Crimson,RGB #a32638
Alice Blue,RGB #f0f8ff
Alizarin Crimson,RGB #e32636
Alloy Orange,RGB #c46210
Almond,RGB #efdecd
Amaranth,RGB #e52b50
Amber,RGB #ffbf00
Amber (Sae/Ece),RGB #ff7e00
American Rose,RGB #ff033e
Amethyst,RGB #96c
Android Green,RGB #a4c639
Anti-Flash White,RGB #f2f3f4
Antique Brass,RGB #cd9575
Antique Fuchsia,RGB #915c83
Antique Ruby,RGB #841b2d
Antique White,RGB #faebd7
Ao (English),RGB #008000
Apple Green,RGB #8db600
Apricot,RGB #fbceb1
Aqua,RGB #0ff
Aquamarine,RGB #7fffd4
Army Green,RGB #4b5320
Arsenic,RGB #3b444b
Arylide Yellow,RGB #e9d66b
Ash Grey,RGB #b2beb5
Asparagus,RGB #87a96b
Atomic Tangerine,RGB #f96
Auburn,RGB #a52a2a
Aureolin,RGB #fdee00
Aurometalsaurus,RGB #6e7f80
Avocado,RGB #568203
Azure,RGB #007fff
Azure Mist/Web,RGB #f0ffff
Baby Blue,RGB #89cff0
Baby Blue Eyes,RGB #a1caf1
Baby Pink,RGB #f4c2c2
Ball Blue,RGB #21abcd
Banana Mania,RGB #fae7b5
Banana Yellow,RGB #ffe135
Barn Red,RGB #7c0a02
Battleship Grey,RGB #848482
Bazaar,RGB #98777b
Beau Blue,RGB #bcd4e6
Beaver,RGB #9f8170
Beige,RGB #f5f5dc
Big Dip O’Ruby,RGB #9c2542
Bisque,RGB #ffe4c4
Bistre,RGB #3d2b1f
Bittersweet,RGB #fe6f5e
Bittersweet Shimmer,RGB #bf4f51
Black,RGB #000
Black Bean,RGB #3d0c02
Black Leather Jacket,RGB #253529
Black Olive,RGB #3b3c36
Blanched Almond,RGB #ffebcd
Blast-Off Bronze,RGB #a57164
Bleu De France,RGB #318ce7
Blizzard Blue,RGB #ace5ee
Blond,RGB #faf0be
Blue,RGB #00f
Blue Bell,RGB #a2a2d0
Blue (Crayola),RGB #1f75fe
Blue Gray,RGB #69c
Blue-Green,RGB #0d98ba
Blue (Munsell),RGB #0093af
Blue (Ncs),RGB #0087bd
Blue (Pigment),RGB #339
Blue (Ryb),RGB #0247fe
Blue Sapphire,RGB #126180
Blue-Violet,RGB #8a2be2
Blush,RGB #de5d83
Bole,RGB #79443b
Bondi Blue,RGB #0095b6
Bone,RGB #e3dac9
Boston University Red,RGB #c00
Bottle Green,RGB #006a4e
Boysenberry,RGB #873260
