TERM,MEANING
.7z,Common filename extension for archive files in 7z format
.bat,Common filename extension for Batch script files
.bz2,Common filename extension for archive files in bzip2 format
.c,Common filename extension for C source code files
.cpp,Common filename extension for C++ source code files
.csv,Common filename extension for comma-separated value files
.cfg,Common filename extension for configuration files
.dll,Common filename extension for dynamic-link library files on Windows
.exe,Common filename extension for executable files on Windows
.gif,Common filename extension for GIF image files
.gz,Common filename extension for archive files in gzip format
.h,Common filename extension for C/C++ header files
.hpp,Common filename extension for C++ header files
.ilk,Common filename extension for incremental linking files on Windows
.jar,Common filename extension for Java archive files
.jfif,Common filename extension for JPEG image files
.jpeg,Common filename extension for JPEG image files
.jpg,Common filename extension for JPEG image files
.lib,Common filename extension for static library files on Windows
.m3u,Common filename extension for audio playlists
.md,Common filename extension for Markdown files
.mp3,Common filename extension for MPEG layer 3 audio files
.pdb,Common filename extension for program debug database files on Windows
.ps1,Common filename extension for PowerShell script files
.psd1,Common filename extension for PowerShell data files
.psm1,Common filename extension for PowerShell module files
.psxml,Common filename extension for PowerShell XML files
.sh,Common filename extension for script files
.sln,Common filename extension for MSBuild solution files
.tar,Common filename extension for archive files in tar format
.txt,Common filename extension for text files
.vcxproj,Common filename extension for Visual Studio project files
.xml,Common filename extension for XML files
.xz,Common filename extension for archive files in XZ format
.zip,Common filename extension for archive files in Zip format
1NF,First Normal Form
2.5D,Two-And-A-Half-Dimensional
286,Intel 80286 processor
2B1Q,2 Binary 1 Quaternary
2FA,Two-factor authentication
2GL,Second-Generation Programming Language
2KB,"2,000 Bytes"
2NF,Second Normal Form
3-D,three dimensions or three-dimensional
3270,Information Display System
386,Intel 80386 processor
3BL,triple bottom line
3DCG,Three-Dimensional Computer Graphics
3DS,"Nintendo 3DS or 3 Dual Screen"
3G,third generation of mobile telephony
3GL,Third-Generation Programming Language
3GPP,3rd Generation Partnership Project
3LS,3rd Level Support
3NF,Third Normal Form
3PL,third-party logistics
3PV,Peak Player Production Values
3Vs,"volume, variety and velocity"
4-D,printing four-dimensional printing
40GbE,40 Gigabit Ethernet
