TERM,MEANING
AA,Air-to-Air
AA,Anti-Aircraft
AAA,Anti-Aircraft Artillery
AAAV,Advanced Amphibious Assault Vehicle
AADC,Area Air Defense Commander
AAFES,Army Air Force Exchange System
AAFES,Army and Air Force Exchange Service
AAM,Air-to-Air Missile
AAMG,Anti-Aircraft Machine Gun
AAP,American Academy of Pediatrics
AAV,Amphibious Assault Vehicle
AAV,Amphibious Assault Vehicle
AAV,Assault Amphibian Vehicle
AAVC,Assault Amphibian Vehicle Command
ABA,Applied Behavior Analysis
ABM,Anti-Ballistic Missile
AC,Active Component
ACC,Air Combat Command
ACFT,Army Combat Fitness Test
ACM,Air Combat Maneuvering
ACMI,Air Combat Maneuvering Instrumentation
ACMR,Air Combat Maneuvering Range
ACO,Airspace Control Order
ACP,Armored Command Post
ACSI,American Customer Satisfaction Index
ACU,Army Combat Uniform
ACU,Assault Craft Unit
ADATS,Air Defense Anti-Tank System
ADF,Australian Defense Force
ADFM,Active-Duty Family Member
ADIZ,Air Defense Identification Zone
ADWC,Air Defense Warning Condition
AETF,Air Expeditionary task force
AEV,Armored Engineer Vehicle
AEW,Airborne Early Warning
AEW&C,Airborne Early Warning and Control
AF,Air Force
AFB,Air Force Base
AFD,Automatic Feeding Device
AFMC,Air Force Material Command
AFN,American Forces Network
AFV,Armored Fighting Vehicle
AIFV,Armored Infantry Fighting Vehicle
AIP,Assignment Incentive Pay
AIRSUPREQ,Air Support Request
AIT,Advanced Individual Training
AIT or “A School”,Advanced Individual Training
ALBM,Air Launched Ballistic Missile
ALCM,Air Launched Cruise Missile
ALCT,Airlift Control Team
ALERTORD,Alert Order
AMC,Air Mobility Command
AMC,Air Mobility Command
AMCT,Air Mobility Control Team
AMD,Air Mobility Division
AMLO,Air Mobility Liaison Officer
AMR,Anti-Material Rifle
AMRAAM,Advanced Medium Range Air-to-Air Missile
ANG,Air National Guard
AOC,Air Operations Center
AP,Armor Piercing
APAM,Anti-Personnel, Anti-Material
APC,Armored Personnel Carrier
APDS,Armor-Piercing, Discarding Sabot
APDS-T,Armor-Piercing, Discarding Sabot (Tracer)
APF,Appropriated Funds
APFSDS,Armor Piercing, Fin-Stabilized, Discarding Sabot
APHE,Armor Piercing, High-Explosive
AP-T,Armor Piercing - Tracer
APU,Auxiliary Power Unit
ARCT,Air Refueling Control Team
ARM,Anti-Radiation Missile
ARRV,Armored Repair and Recovery Vehicle
ARSOF,Army special operations forces
ARV,Armored Recovery Vehicle
AS,Anti-Ship
ASG,Allied System for Geospatial Intelligence
ASM,Air-to-Surface Missile
ASM,Anti-Ship Missle
ASPJ,Airborne Self-Protection Jammer
ASRAAM,Advanced Short Range Air-to-Air Missile
AST,Air Staff Target
ASTOVL,Advanced Short Take-Off and Vertical Landing
ASuW,Anti-Surface Warfare
ASV,Anti-Surface Vessel
ASVAB,Armed Services Vocational Aptitude Battery
ASW,Anti-Submarine Warfare
AT,Anti-Tank
ATACMS,Army TACtical Missile System
ATAS,Air-To-Air Stinger (missile)
ATBM,Anti-Tactical Ballistic Missile
ATCS,Air Traffic Control Section
ATCCIS,Army Tactical Command and Control Information System
ATGW,Anti-Tank Guided Weapon
ATR,Anti-Tank Rifle
AUW,All-Up Weight
AVL,Anti-Vehicle Land Mine
AVLB,Armored Vehicle-Launched Bridge
B,Bomber designation (as in B-52 Stratofortress)
BAG,Budget Activity Group
BAH,Basic Allowance for Housing
BAH,Basic Housing Allowance
BAHC,Basic Allowance for Health Care
BAS,Basic Allowance for Subsistence
BCT,Basic Combat Training
BDOC,Base Defense Operations Center
BDU,Battle Dress Uniform
BDZ,Base Defense Zone
BEC,Benefits Executive Committee
BM,Ballistic Missile
BMCT,Begin Morning Civil Twilight
BMNT,Begin Morning Nautical Twilight
BOD,Board of Directors
BPLAN,Base Plan
BRS,Blended Retirement System
BVR,Beyond Visual Range
BZ,Buffer Zone
C2,Command and Control
C3,Command, Control and Communications
C3I,Command, Control, Communications and Intelligence
CABG,Coronary Artery Bypass Grafting
CAHPS,Consumer Assessment of Healthcare Providers and Systems
CAP,Combat Air Patrol
CAS,Close-Air Support
CASEVAC,Casualty Evacuation
CAWS,Close Assault Weapon System
CBO,Congressional Budget Office
CC,Command & Control
CCDR,Combatant Commander
CCHHS,Cook County Health and Hospital System
CCMD,Combatant Command
CCV,Command & Control Vehicle
CDC,Child Development Center
CDP,Child Development Program
CDU,Control Display Unit
CEA,Circular Error Average
CEB,Cooperative Efforts Board
CEP,Circular Error Probable
CEV,Combat Engineer/Engineering Vehicle
CFE,Conventional Forces Europe
CFL,Coordinated FireLine
CFR,Code of Federal Regulations
CFV,Cavalry Fighting Vehicle
CIWS,Close-In Weapon System (US)
CLEP,College Level Examinations Program
CLS,Combat Life Saver
CM,Cruise Missile
CMAC,CHAMPUS Maximum Allowable Charge
CMO,Civil-Military Operations
CO,Commanding Officer
CO,Commanding Officer
COA,Course of Action
COG,Center of Gravity
COIN,Counter-Insurgency
COL,Colonel
COLA,Cost of Living Allowance
CONUS,Continental U.S.
COOP,Continuity of Operations
CP,Contact Point
CP,Continuation Pay
CPG,Contingency Planning Guidance
CPL,Corporal
CPT,Captain
CRAF,Civil Reserve Air Fleet
CRAF,Civil Reserve Air Fleet
CRARRV,Challenger Armored Repair and Recovery Vehicle
CRBM,Close-Range Ballistic Missile
CRDP,Concurrent Retirement Disability Pay
CRSC,Combat Related Special Compensation
CRT,Cathode Ray Tube
CSB,Close-Support Bridge
CSP,Critical Skills Pay
C-STARS,Centers for Sustainment of Trauma and Readiness Skills (USAF)
CTS,Close-To-Shore
CV,Combat Vehicle
CV,Conventionally Powered aircraft carrier (USN)
CVN,Attack aircraft carrier, nuclear powered (US)
CVRT,Combat Vehicle Reconnaissance Tracked
CVW,Carrier Air Wing
CWC,Composite Warfare Commander
CWMD,Countering Weapons of Mass Destruction
CZTE,Combate Zone Tax Exclusion
DA,Department of the Air Force
DA,Direct Action
DA,Double Agent
DACMC,Defense Advisory Committee on Military Compensation
DAF,Defense Information Systems Network
DANTES,Defense Activity for Non-Traditional Education Support
DASC(A),Direct Air Support Center (Airborne)
DB,Defined Benefit
DC,Defined Contribution
DeCA,Defense Commissary Agency
DEERS,Defense Enrollment Eligibility Reporting System
DEERS,Defense Enrollment Eligibility Reporting System
DEFCON,Defense Readiness Condition
DEPORD,Deployment Order
DeRA,Defense Resale Activity
DEW,Distant Early Warning (US)
DFAS,Defense Finance and Accounting Service
DFC,Distinguished Flying Cross: Air Force decoration
DFGL,Distinct Faith Group Leader
DGPS,Differential GPS
DHA,Defense Health Agency
DIC,Dependency and Indemnity Compensation
DITY,Do-It-Yourself
DLA,Dislocation Allowance
DLTP,Defence Logistics Transformation Program
DMDC,Defense Manpower Data Center
DMHS,Defense Message Handling System
DMR,Designated Marksman Rifle
DoDI,DoD Instruction
DoDTR,Department of Defense Trauma Registry
DOL,U.S. Department of Labor
DON,Department of the Navy
DP,Dual-Purpose
DRB,Discharge Review Board
DRM,Dynamic Retention Model (RAND)
DRO,Decision Review Officer
DVI,Direct Voice Input
DVOP,Disabled Veterans’ Outreach Program
DZ,Drop Zone
DZ,Drop Zone
E,Enlisted
EAD,Earliest Arrival Date
EAOS,End of Active Obligated Service
EAS,End of Active Service
EBT,Electronic Benefit Transfer
ECCM,Electronic Counter CounterMeasures
ECHO,Extended Care Health Option
ECM,Electronic CounterMeasures
ECR,Electronic Combat Reconnaissance
EECT,End Evening Civil Twilight
EENT,End of Evening Nautical Twilight
EFIS,Electronic Flight Instrument System
EFM,Exceptional Family Member
EFMP,Exceptional Family Member Program
EH,Explosive Hazard
EHHC,ECHO Home Health Care
EHR,Electronic Health Record
ELINT,ELectronic INTelligence
EMC,Essential Medical Capability
EMP,Electromagnetic Pulse
EOC,Emergency Operations Center
EOD,Explosive Ordnance Disposal
EOD,Explosive Ordnance Disposal
EP,Emergency Preparedness
ERA,Explosive Reactive Armor
ERC,en Route Care
ERISA,Employee Retirement Income Security Act
ESEA,Elementary and Secondary Education Act
eshp,Equivalent Shaft Horsepower
ESM,Electronic Support Measures
EW,Early Warning
EW,Electronic Warfare
EW,Electronic Warning
EWA,Electronic Warfare Aircraft
F,Fighter designation (as in F-15 Eagle)
FA,Frontal Aviation
FAC,Forward Air Control / Forward Air Controller
FAE,Fuel Air Explosives
FAV,Fast Attack Vehicle
FBW,Fly-by-Wire
FCC,Family Child Care
FCS,Fire Control System
FDO,Flight Deck Officer
FEBA,Forward Edge of the Battle Area
FEBA,Foward Edge of Battle Area
FEDVIP,Federal Employees Dental and Vision Insurance Program
FEHBP,Federal Employees Health Benefits Program
FFA,Free-Fire Area
FFAR,Folding-Fin Aerial Rocket
FFS,Fee-For-Service
FHCC,Federal Health Care Center
FIE,Fly-In Echelon
FIFV,Future Infantry Fighting Vehicle
FLIR,Forward Looking Infrared
