TERM,MEANING
3M,The Minnesota Mining and Manufacturing Company
A&W,Allen and Wright (founders Roy Allen and Frank Wright)
AATF,"American Association of Teachers of French, or: African Agricultural Technology Foundation"
ABC,"American Broadcasting Corporation, Associated British Corporation, Australian Broadcasting Corporation"
ACLU,American Civil Liberties Union
ADB,Asian Development Bank
AIIB,Asian Infrastructure Investment Bank
APEC,Asia-Pacific Economic Cooperation
ASEAN,Association of South East Nations
AT&T,American Telephone and Telegraph Company
ATF,"Alcohol, Tobacco, Firearms and Explosives Bureau (USA)"
BMW,Bavarian Motor Works
BND,Bundesnachrichtendienst (Germany)
BVD, Bradley, Voorhees, and Day
CERN,European Organization for Nuclear Research
CIA,Central Intelligence Agency (USA)
CISA,Cybersecurity Insurance and Security Agency (USA)
CPUC,California Public Utilities Commission
DHS,Department of Homeland Security (USA)
DOC,Department of Commerce (USA)
DoD,Department of Defense (USA)
DODAF,Department of Defense Architectural Framework (USA)
DoDD,Department of Defense Directive (USA)
DoDEA,Department of Defense Education Activity (USA)
DoE,Department of Energy (USA)
DOGE,Department of Government Efficiency (USA)
DOI,Department of the Interior (USA)
DOJ,Department of Justice (USA)
DOL,Department of Labor (USA)
DOS,Department of State (USA)
DOT,Department of Transportation (USA)
EASA,European Aviation Safety Agency
ED,U.S. Department of Education
ESA,European Space Agency
ESPN, Entertainment and Sports Programming Network
FAO,Food and Agriculture Organization
FBI,Federal Bureau of Investigation (USA)
FDA,Food and Drug Administration (USA)
FIFA,Fédération Internationale de Football Association
GEICO, Government Employees Insurance Company
H&M, Hennes and Mauritz
HHS,U.S. Department of Health and Human Services
HRW,Human Rights Watch
HSBC, Hongkong and Shanghai Banking Corporation
HUD,U.S. Department of Housing and Urban Development
IBM, International Business Machines
ICC,International Cricket Council
ICI,Imperial Chemical Industries
ICJ,International Court of Justice
IMF,International Monetary Fund
IMO,International Maritime Organization
IOC,International Olympic Committee
ISO,International Organization for Standardization
J&J,Johnson & Johnson
JBL, James Bullough Lansing
L.L. Bean, Leon Leonwood Bean
LAPD,Los Angeles Police Department
LBA,Luftfahrtbundesamt (German aviation agency)
M&M, Mars & Murrie’s
MILF,Moro Islamic Liberation Front
NASA,National Aeronautics and Space Administration
NATO,North Atlantic Treaty Organization
NBC,National Broadcasting Company
NIST,U.S. National Institute of Standards and Technology
NIWA,National Institute of Water and Atmospheric Research Limited
NHTSA,U.S. National Highway Traffic Safety Administration
NSA,U.S. National Security Agency
NYPD,New York Police Department
OECD,Organization for Economic Cooperation & Development
ONCD,Office of the National Cyber Director
OPCW,Organization for the Prohibition of Chemical Weapons
OPEC,Organization of Petroleum Exporting Countries
RSF,Reporters Sans Frontières (French for: Reporters Without Borders)
SAARC,South Asian Association for Regional Cooperation
TREAS,U.S. Department of the Treasury
ULA,United Launch Alliance
UN,United Nations Organization
UNCTAD,United Nations Conference on Trade & Development
UNESCO,United Nations Education Scientific & Cultural Organization
UNICEF,United Nations Children's Fund
UNIDO,United Nations Industrial Development Organization
UNO,United Nations Organization
USDA,United States Department of Agriculture
UPS,United Parcel Service
USSF,"United States Soccer Federation, governing body of soccer in the United States"
USSF,"United States Social Forum, an activist organization"
USSF,"US Sumo Federation, governing body of sumo in the United States"
VA,U.S. Department of Veterans Affairs
VW,Volkswagen
WEF,World Economic Forum
WHO,World Health Organization
WIPO,World Intellectual Property Organization
WMO,World Meteorological Organization
WWF,World Wide Fund for Nature
YKK, Yoshida Manufacturing Corporation
YMCA,Young Men's Christian Association
YWCA,Young Women's Christian Association
