TERM,MEANING
A-CVA,Advanced Credit Valuation Adjustment
ABoR,Administrative Board of Review
ABS,Asset-Backed Security
ABSPP,Asset-Backed Securities Purchase Programme
ACH,Automated Clearing House
ACWI,All Country World Index
AIF,Alternative Investment Fund
AIR,Assumed Interest Rate
AMA,Advanced Measurement Approach
AMC,Asset Management Company
AML,Anti-Money Laundering
APP,Asset Purchase Programme
APR,Annual Percentage Rate
APT,Asset Protection Trust
APY,Annual Percentage Yield
ARM,Adjustable Rate Mortgage
ATM,Automated Teller Machine
ATR,Ability to Repay
CBN,Central Bank of Nigeria
CD,Certificate of Deposit
DDA,Demand Deposit Account
DM,"Deutsche Mark (currency in Germany 1948-2001)"
DTI,Debt-to-Income
EAD,Exposure At Default
EBITDA,Earnings Before Interest, Taxes, Depreciation and Amortisation
EBP,Excess Bond Premium
EBPP,Electronic Bill Presentment and Payment
EBRD,European Bank for Reconstruction and Development
ECA,European Court of Auditors
ECAF,Eurosystem Credit Assessment Framework
ECB,European Central Bank
ECCB,"Eastern Caribbean Central Bank (Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines)"
ECCU,Eastern Caribbean Currency Union
ECL,Expected Credit Loss
ECOFIN,Economic and Financial Affairs Council
ECOWAS,"Economic Community of West African States (Benin, Burkina Faso, Cape Verde, Côte d’Ivoire, The Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Niger, Nigeria, Senegal, Sierra Leone, Togo)"
ECU,European Currency Unit
EDF,expected default frequency
EDI,Electronic Data Interchange
EDIS,European Deposit Insurance Scheme
EDP,excessive deficit procedure
EDW,European Data Warehouse
EEA,European Economic Area
EFSF,European Financial Stability Facility
EFSM,European Financial Stability Mechanism
EFT,Electronic Funds Transfer
EFTA,"European Free Trade Association (Iceland, Liechtenstein, Norway, Switzerland)"
EIB,European Investment Bank
EMU,"European Economic and Monetary Union (Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Luxembourg, Malta, Netherlands, Portugal, Slovak Republic, Slovenia, Spain)"
ETF,Exchange Traded Funds
FATF,Financial Action Task Force on Money Laundering (of the OECD)
FDI,Foreign direct investment
FDIC,Federal Deposit Insurance Corporation
FEC,Foreign exchange certificate
FED,Federal Reserve Bank
FIU,Financial intelligence unit
FOREX,Foreign Exchange
FRB,Federal Reserve Board
FTA,Free trade agreement
G7,"Group of Seven advanced economies (Canada, France, Germany, Italy, Japan, United Kingdom, United States)"
GAFTA,Greater Arab Free Trade Agreement
GCC,"Gulf Cooperation Council (Cooperation Council for the Arab States of the Gulf; Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates)"
GDP,Gross domestic product
HELOC,Home Equity Line of Credit
HIPC,Heavily Indebted Poor Countries
HPML,High Priced Mortgage LoanHigh Priced Mortgage Loan
IAS,"International Accounting Standards, Internal Audit Service (European Commission), Investment Analysts Society of Southern Africa"
IBRD,International Bank for Reconstruction and Development (World Bank)
IFRS,International Financial Reporting Standards
IMF,International Monetary Fund
IRA,Individual Retirement Account
LC,Letter of credit
LCR,Liquidity coverage ratio
LIBID,London interbank bid rate
LIBOR,London interbank offered rate
LOI,Letter Of Intent
LTD,Loan-to-deposit
MBS,Mortgage-Backed Securities
MSCI,Morgan Stanley Capital International
NPL,Non performing loans
NSF,Non-Sufficient Funds
SWIFT,Society for Worldwide Interbank Financial Telecommunication
VAT,Value-added tax
WAEMU,"West African Economic and Monetary Union (formerly WAMU; members of the BCEAO)"
WAMA,West African Monetary Agency (formerly WACH)
WAMZ,West African Monetary Zone
