AUTHOR,QUOTE,
Yoda,"Train yourself to let go of everything you fear to lose.",
Yoda,"Do, or do not. There is no try.",
Yoda,"The greatest teacher, failure is.",
Yoda,"Much to learn, you still have.",
Yoda,"Adventure. Excitement. A Jedi craves not these things.",
Yoda,"Size matters not. Look at me. Judge me by my size, do you?",
Yoda,"Fear is the path to the dark side.",
Yoda,"Your friends are not who you think they are.",
Yoda,"In the end, cowards are those who follow the dark side.",
Yoda,"A Jedi uses the Force for knowledge and defense, never for attack.",
Yoda,"Wisdom is the weapon to defeat ignorance.",
Yoda,"Knowledge and wisdom, pebbles on the path to enlightenment.",
Yoda,"In knowledge, there is power; in wisdom, there is peace.",
Yoda,"A mind that seeks knowledge is never stagnant.",
Yoda,"The more you learn, the more you can teach.",
Yoda,"True wisdom comes from the journey, not the destination.",
Yoda,"Listen to the lessons in every moment.",
Yoda,"Seek knowledge, and you shall find your path.",
Yoda,"Wisdom flows through the ages; embrace it.",
Yoda,"Knowledge acquired without experience is empty.",
Yoda,"Do not let fear control your destiny.",
Yoda,"Mastery comes from confronting your fears.",
Yoda,"Fall, we all must; rise again, we can.",
Yoda,"In overcoming fear, we find strength.",
Yoda,"The dark side is fueled by fear.",
Yoda,"Face your fears and conquer them.",
Yoda,"Your fear is a great teacher; learn from it.",
Yoda,"Train you must, or fallen short you will be.",
Yoda,"Mastery cannot be rushed; time it takes.",
Yoda,"Learn, we must, from every failure.",
Yoda,"Use the Force wisely; its power is great.",
Yoda,"Patience you must have, my young Padawan.",
Yoda,"Persistence is the key; never give up.",
